Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2023-03-17 07:30 (-05),On Demand,Anna Greenberg,45,Yoga,Flow,45 min Yoga Flow,2020-08-15 07:51 (-05),,,,,,,226,,,
2023-03-18 13:41 (-05),On Demand,Denis Morton,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2021-04-23 08:00 (-05),553,154,44%,84,19.15,19.15,890,144.93,,
2023-03-18 14:41 (-05),On Demand,Leanne Hainsby,5,Cycling,Warm Up/Cool Down,5 min Whitney Houston Cool Down Ride,2022-12-21 03:37 (-05),33,111,40%,80,16.57,1.38,75,146.15,,
2023-03-18 14:48 (-05),On Demand,Hannah Corbin,15,Stretching,Lower Body Stretch,15 min Lower Body Stretch,2021-06-03 09:00 (-05),,,,,,,70,91.26,,
2023-03-20 14:33 (-05),On Demand,Olivia Amato,45,Cycling,Power Zone,45 min Power Zone Max Ride,2021-04-16 09:03 (-05),448,166,42%,92,19.22,14.41,720,152.42,,
2023-03-20 15:18 (-05),On Demand,Camila Ramon,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2023-03-17 10:00 (-05),23,76,35%,75,14.31,1.19,72,142.29,,
2023-03-20 15:24 (-05),On Demand,Camila Ramon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-06-26 10:00 (-05),,,,,,,73,143.12,,
2023-03-21 07:44 (-05),On Demand,Ross Rayburn,20,Yoga,Flow,20 min Yoga Flow,2023-03-19 11:25 (-05),,,,,,,107,,,
2023-03-22 15:28 (-05),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Ride,2021-04-23 08:00 (-05),452,167,45%,86,19.73,14.80,747,156.26,,
2023-03-22 16:15 (-05),On Demand,Cody Rigsby,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2023-02-09 11:00 (-05),31,105,43%,70,16.35,1.36,73,143.31,,
2023-03-22 16:20 (-05),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-01-17 11:00 (-05),,,,,,,69,137.73,,
2023-03-25 09:24 (-05),On Demand,Ben Alldis,60,Cycling,Power Zone,60 min Power Zone Ride,2021-04-23 02:56 (-05),581,158,43%,86,19.16,19.37,903,144.73,,
2023-03-25 10:27 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-09-26 01:00 (-05),,,,,,,68,136.75,,
2023-03-27 13:19 (-05),On Demand,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2021-04-23 08:00 (-05),383,142,42%,86,18.42,13.82,577,132.06,,
2023-03-27 14:04 (-05),On Demand,Sam Yo,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2019-12-18 04:35 (-05),29,98,39%,76,15.62,1.29,64,132.97,,
2023-03-27 14:09 (-05),On Demand,Logan Aldridge,10,Stretching,Lower Body Stretch,10 min Lower Body Stretch,2023-03-08 02:00 (-05),,,,,,,107,118.48,,
